Problem Number;Problem Name;Status;Difficulty;Tags
628;Maximum Product of Three Numbers;Finished;Easy,math,arrays
633;Sum of Square Numbers;Finished;Easy,math
637;Average of Levels in Binary Tree;Finished;Easy,trees
643;Maximum Average Subarray I;Finished;Easy,arrays
645;Set;Finished;Mismatch,hash-table,math
648;Replace Words;Finished;Medium,hash-table
654;Maximum Binary Tree;Finished;Medium,trees
657;Robot Return to Origin;Finished;Easy,string
658;Find K Closest Elements;Finished;Medium,binary-search
674;Longest Continuous Increasing Subsequence;Finished;Easy,arrays
676;Implement Magic Dictionary;Finished;Medium,hash-table
677;Map Sum Pairs;Finished;Medium
678;Valid Parenthesis String;Finished;Medium,string
684;Redundant Connection;Finished;Medium,trees
686;Repeated String Match;Finished;Easy,string
700;Search in a Binary Search Tree;Finished;Easy,trees
701;Insert into a Binary Search Tree;Finished;Medium,trees
707;Design Linked List;Finished;Medium,linked-list
709;To Lower Case;Finished;Easy,string
728;Self Dividing Numbers;Finished;Easy,math
744;Find Smallest Letter Greater Than Target;Finished;Easy,binary-search
747;Largest Number At Least Twice of Others;Finished;Easy,arrays
754;Reach a Number;Finished;Medium,math
762;Prime Number of Set Bits in Binary Representation;Finished;Easy,bit-manipulation
763;Partition Labels;Finished;Medium,two-pointers
771;Jewels and Stones;Finished;Easy,hash-table
779;K th Symbol in Grammar;Finished;Medium
783;Minimum Distance Between BST Nodes;Finished;Easy,trees
791;Custom Sort String;Finished;Medium,string
804;Unique Morse Code Words;Finished;Easy,string
807;Max Increase to Keep City Skyline;Finished;Medium
814;Binary Tree Pruning;Finished;Medium,trees
817;Linked List Components;Finished;Medium,linked-list
819;Most Common Word;Finished;Easy,string
824;Goat Latin;Finished;Easy,string
826;Most Profit Assigning Work;Finished;Medium,two-pointers
832;Flipping an Image;Finished;Easy,arrays
841;Keys and Rooms;Finished;Medium
844;Backspace String Compare;Finished;Easy,two-pointers
852;Peak Index in a Mountain Array;Finished;Easy,binary-search
853;Car Fleet;Finished;Medium,sort
856;Score of Parentheses;Finished;Medium,string
866;Prime Palindrome;Finished;Medium,math
867;Transpose Matrix;Finished;Easy,arrays
890;Find and Replace Pattern;Finished;Medium,string
893;Groups of Special Equivalent Strings;Finished;Easy,string
905;Sort Array By Parity;Finished;Easy,arrays
912;Sort an Array;Finished;Medium
917;Reverse Only Letters;Finished;Easy,string
921;Minimum Add to Make Parentheses Valid;Finished;Medium
922;Sort Array By Parity II;Finished;Easy,sort,arrays
929;Unique Email Addresses;Finished;Easy,string
938;Range Sum of BST;Finished;Easy,trees
942;DI String Match;Finished;Easy,math
950;Reveal Cards In Increasing Order;Finished;Medium,arrays
961;N Repeated Element in Size 2N Array;Finished;Easy,hash-table
973;K Closest Points to Origin;Finished;Medium,sort,divide-and-conquer
976;Largest Perimeter Triangle;Finished;Easy,sort,math
977;Squares of a Sorted Array;Finished;Easy,two-pointers,arrays
986;Interval List Intersections;Finished;Medium,two-pointers
997;Find the Town Judge;Finished;Easy
998;Maximum Binary Tree II;Finished;Medium,trees
1003;Check If Word Is Valid After Substitutions;Finished;Medium,string
1005;Maximize Sum Of Array After K Negations;Finished;Easy
1008;Construct Binary Search Tree from Preorder Traversal;Finished;Medium,trees
1013;Partition Array Into Three Parts With Equal Sum;Finished;Easy,arrays
1016;Binary String With Substrings Representing 1 To N;Finished;Medium,string
1018;Binary Prefix Divisible By 5;Finished;Easy,arrays
1021;Remove Outermost Parentheses;Finished;Easy
1022;Sum of Root To Leaf Binary;Finished;Numbers,trees
1023;Camelcase Matching;Finished;Medium,string
1030;Matrix Cells in Distance Order;Finished;Easy,sort
1038;Binary Search Tree to Greater Sum Tree;Finished;Medium
1046;Last Stone Weight;Finished;Easy
1051;Height Checker;Finished;Easy,arrays
1052;Grumpy Bookstore Owner;Finished;Medium,arrays
1078;Occurrences After Bigram;Finished;Easy,hash-table
1104;Path In Zigzag Labelled Binary Tree;Finished;Medium,math,trees
1108;Defanging an IP Address;Finished;Easy,string
1122;Relative Sort Array;Finished;Easy,sort,arrays
